Design temperature <,40 deg C ambient temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design life =~ ,10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equation= ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg ,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg,,,,,,,,,,,,,,
shape parameter = ,1.6977,1.7071,1.7193,1.6958,1.7406,1.7395,1.7249,1.7129,1.7043,1.7285,1.6891,1.6895,1.711,1.7114,1.7098,1.7081,1.7191,1.70,1.7314,1.7466,1.7184,1.7203,1.733,1.715,1.7182,1.7336,1.7129,1.6827,1.748,1.6847,1.7115,,,,,,,,,,,,,,
scale parameter = ,66.623,62.218,58.22,54.722,50.639,47.583,44.046,41.009,38.017,35.769,33.174,31.393,28.975,27.156,25.311,23.512,22.3,20.86,19.383,18.084,16.892,15.776,14.668,13.759,12.787,11.873,11.017,10.303,9.6121,8.959,8.4064,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1,0.000801418,0.000865801,0.000922807,0.001127665,0.001078795,0.001207286,0.001459179,0.001725537,0.002026764,0.002062127,0.002695469,0.002954327,0.003146254,0.003510094,0.003978839,0.004536421,0.004798274,0.005634294,0.005884078,0.00634786,0.007738681,0.008653664,0.009475746,0.011089304,0.0124632,0.013619701,0.016273901,0.01955263,0.018961959,0.024566226,0.025814464,,,,,,,,,,,,,,
2,0.002597331,0.002824101,0.003035374,0.003648532,0.003600501,0.004025674,0.004815314,0.00564553,0.006589529,0.006817251,0.008665659,0.009497745,0.010263651,0.011448979,0.012956689,0.01474578,0.015710706,0.018240204,0.019405034,0.021142504,0.02524081,0.028232149,0.03115371,0.035947164,0.040425006,0.044580231,0.052366849,0.061423794,0.062279568,0.076846865,0.082087337,,,,,,,,,,,,,,
3,0.005163193,0.005634731,0.006085568,0.007243517,0.007278888,0.00813304,0.009667283,0.011274581,0.013108091,0.013692326,0.017115224,0.01875395,0.020434164,0.02278412,0.025748476,0.029257623,0.031294104,0.036068489,0.038769403,0.042458273,0.05001991,0.055904339,0.061905268,0.070753727,0.079483981,0.087989876,0.102124227,0.117866312,0.122457245,0.146423019,0.157552767,,,,,,,,,,,,,,
4,0.008400784,0.009191343,0.009960045,0.011771438,0.011981302,0.013379328,0.015829196,0.018388398,0.021313987,0.022413572,0.027674513,0.030311991,0.033211532,0.03700708,0.041763154,0.047378549,0.050799405,0.058212676,0.062996044,0.069197319,0.080685029,0.090049192,0.099862819,0.113245134,0.126958157,0.14072025,0.161656006,0.184132822,0.194256988,0.226671011,0.244605135,,,,,,,,,,,,,,
5,0.01224621,0.01342413,0.014583585,0.017139167,0.017617586,0.019661921,0.023173822,0.026833172,0.031022244,0.032787939,0.040086392,0.043883635,0.048274276,0.053747478,0.060565398,0.068591821,0.073658021,0.083984912,0.09131228,0.100471034,0.116127083,0.12935737,0.143481712,0.161567131,0.180625654,0.20012007,0.227724267,0.256390608,0.273147159,0.312266972,0.336997532,,,,,,,,,,,,,,
6,0.016651731,0.018280488,0.019898922,0.023276077,0.024117529,0.026900401,0.031601273,0.036487838,0.042086569,0.044659595,0.054145684,0.059237267,0.06535818,0.072698215,0.081791319,0.092461975,0.099384117,0.112799121,0.123041543,0.135487009,0.155373241,0.172674336,0.191382883,0.214086809,0.238528029,0.263833217,0.297520048,0.33142506,0.355174253,0.398876847,0.429636785,,,,,,,,,,,,,,
7,0.02157882,0.023717611,0.025859002,0.030124314,0.031422197,0.035026861,0.041027048,0.047249761,0.054382441,0.057893501,0.069676581,0.076173327,0.084231323,0.093588044,0.105117855,0.118600624,0.127540084,0.144130197,0.157565774,0.173513234,0.197540822,0.218953127,0.242310466,0.269342095,0.298923534,0.329768832,0.368622946,0.406568862,0.43699508,0.483086688,0.518570908,,,,,,,,,,,,,,
