DesignTemperature =~ ,20 deg C water temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Life =~ ,80 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg ,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
shape parameter = ,2.8178,2.7534,2.8225,2.7329,2.8762,2.9436,3.0132,2.9214,2.9628,3.1201,2.8938,2.9965,2.9541,3.211,3.0297,2.886,2.9657,3.1418,3.0664,2.8774,2.7452,3.0163,3.0122,2.9585,2.9102,2.8286,2.895,2.8926,3.0267,2.7463,2.8087
scale parameter = ,312.2,305.46,298.61,277.32,281.97,278.53,272.6,257.14,255.64,261.82,233,236.5,223.7,239.96,219.15,205.94,208.91,213.05,203.36,185.67,175.85,187.15,181.36,175.15,167.23,162.16,160.89,158.13,163.01,147.44,146.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9.35808E-08,1.43856E-07,1.0328E-07,2.10657E-07,8.96864E-08,6.35733E-08,4.5843E-08,9.09767E-08,7.3566E-08,2.85489E-08,1.41041E-07,7.70575E-08,1.14512E-07,2.27706E-08,8.09572E-08,2.10157E-07,1.31734E-07,4.83478E-08,8.35477E-08,2.9643E-07,6.86491E-07,1.40086E-07,1.57334E-07,2.30606E-07,3.38619E-07,5.60987E-07,4.09353E-07,4.35643E-07,2.01507E-07,1.10747E-06,8.18598E-07
2,6.59826E-07,9.70024E-07,7.30592E-07,1.40043E-06,6.58489E-07,4.89088E-07,3.70115E-07,6.89222E-07,5.73547E-07,2.48218E-07,1.04825E-06,6.14966E-07,8.8741E-07,2.10854E-07,6.61129E-07,1.55352E-06,1.02911E-06,4.26729E-07,6.99863E-07,2.17824E-06,4.6028E-06,1.13342E-06,1.26936E-06,1.79254E-06,2.54547E-06,3.98516E-06,3.04495E-06,3.23512E-06,1.64217E-06,7.43103E-06,5.73552E-06
3,2.06833E-06,2.96232E-06,2.29452E-06,4.24131E-06,2.1136E-06,1.61335E-06,1.25584E-06,2.25316E-06,1.90674E-06,8.79539E-07,3.38874E-06,2.07257E-06,2.93978E-06,7.75194E-07,2.25834E-06,5.00628E-06,3.42527E-06,1.52544E-06,2.42649E-06,6.99503E-06,1.40096E-05,3.85065E-06,4.30532E-06,5.94885E-06,8.28376E-06,1.25469E-05,9.84832E-06,1.04532E-05,5.60264E-06,2.26279E-05,1.79125E-05
4,4.65233E-06,6.5409E-06,5.1681E-06,9.30989E-06,4.83471E-06,3.76268E-06,2.98813E-06,5.2214E-06,4.47157E-06,2.15812E-06,7.79085E-06,4.9078E-06,6.87695E-06,1.95249E-06,5.39903E-06,1.14838E-05,8.03942E-06,3.76641E-06,5.8626E-06,1.60061E-05,3.08605E-05,9.17034E-06,1.0241E-05,1.39336E-05,1.91347E-05,2.83096E-05,2.26494E-05,2.4024E-05,1.33827E-05,4.98607E-05,4.01854E-05
5,8.72454E-06,1.20912E-05,9.70194E-06,1.71312E-05,9.18548E-06,7.25707E-06,5.85341E-06,1.00207E-05,8.66131E-06,4.32957E-06,1.48601E-05,9.57804E-06,1.32946E-05,3.99729E-06,1.06151E-05,2.18659E-05,1.55822E-05,7.59275E-06,1.16213E-05,3.04181E-05,5.69423E-05,1.7976E-05,2.00565E-05,2.6963E-05,3.66307E-05,5.32167E-05,4.32123E-05,4.58102E-05,2.62941E-05,9.20223E-05,7.52058E-05
6,1.45834E-05,1.99749E-05,1.6231E-05,2.81955E-05,1.55182E-05,1.24119E-05,1.0139E-05,1.70694E-05,1.48655E-05,7.64711E-06,2.51857E-05,1.65402E-05,2.27816E-05,7.17821E-06,1.84424E-05,3.70067E-05,2.6758E-05,1.34639E-05,2.03261E-05,5.14001E-05,9.39281E-05,3.11548E-05,3.47345E-05,4.62404E-05,6.22692E-05,8.91276E-05,7.32538E-05,7.76238E-05,4.56574E-05,0.000151822,0.000125498
7,2.25164E-05,3.05361E-05,2.50785E-05,4.29671E-05,2.41764E-05,1.95389E-05,1.61332E-05,2.6779E-05,2.34708E-05,1.23702E-05,3.93443E-05,2.6251E-05,3.5921E-05,1.17756E-05,2.942E-05,5.77411E-05,4.22664E-05,2.18525E-05,3.26089E-05,8.00922E-05,0.000143406,4.95966E-05,5.52603E-05,7.29588E-05,9.75201E-05,0.000137838,0.000114454,0.000121237,7.28004E-05,0.000231832,0.000193489
8,3.28025E-05,4.41047E-05,3.65579E-05,6.18896E-05,3.54965E-05,2.8947E-05,2.41245E-05,3.95557E-05,3.48614E-05,1.87636E-05,5.79021E-05,3.91666E-05,5.32915E-05,1.80797E-05,4.40898E-05,8.48875E-05,6.28025E-05,3.32428E-05,4.91088E-05,0.000117611,0.000206896,7.41939E-05,8.26211E-05,0.000108303,0.000143831,0.00020109,0.000168464,0.00017839,0.000109056,0.000334515,0.000281526
9,4.57132E-05,6.09993E-05,5.09749E-05,8.53901E-05,4.9809E-05,4.09425E-05,3.44025E-05,5.5801E-05,4.94193E-05,2.70966E-05,8.14169E-05,5.5743E-05,7.5468E-05,2.63901E-05,6.29956E-05,0.000119251,8.90583E-05,4.81288E-05,7.04707E-05,0.000165053,0.000285864,0.000105841,0.000117805,0.000153449,0.00020263,0.000280584,0.000236908,0.000250795,0.000155763,0.00046224,0.000391892
10,6.1514E-05,8.15284E-05,6.86283E-05,0.000113881,6.74391E-05,5.58294E-05,4.72567E-05,7.59126E-05,6.75247E-05,3.76427E-05,0.000110439,7.64361E-05,0.000103022,3.7014E-05,8.66836E-05,0.000161625,0.000121722,6.70135E-05,9.7345E-05,0.000223498,0.000381726,0.000145433,0.000161803,0.000209568,0.000275329,0.000377982,0.000321387,0.00034014,0.000214262,0.000617302,0.000526813
11,8.04648E-05,0.000105992,8.9811E-05,0.000147763,8.87076E-05,7.39098E-05,6.29773E-05,0.000100284,8.95563E-05,5.0679E-05,0.000145511,0.000101701,0.000136521,5.02661E-05,0.000115701,0.000212793,0.000161481,9.04075E-05,0.000130387,0.00029401,0.00049586,0.000193867,0.000215604,0.000277825,0.000363323,0.000494913,0.000423485,0.000448091,0.000285899,0.000801926,0.000688463
12,0.000102821,0.000134684,0.000114811,0.000187426,0.000113931,9.54843E-05,8.18549E-05,0.000129307,0.000115891,6.64857E-05,0.000187171,0.000131994,0.000176532,6.64677E-05,0.000150598,0.000273528,0.000209016,0.000118829,0.000170255,0.000377639,0.000629603,0.000252042,0.000280201,0.000359377,0.000467997,0.000632977,0.000544766,0.000576296,0.000372022,0.001018277,0.000878974
13,0.000128833,0.000167889,0.00014391,0.00023325,0.000143423,0.000120852,0.00010418,0.000163369,0.000146905,8.53465E-05,0.000235952,0.000167768,0.000223616,8.59464E-05,0.000191923,0.000344596,0.000265009,0.000152803,0.000217612,0.000475423,0.000784264,0.000320857,0.000356586,0.00045538,0.000590719,0.000793745,0.000686776,0.000726384,0.000473981,0.001268466,0.001100435
14,0.000158749,0.000205888,0.000177389,0.000285606,0.000177493,0.000150309,0.000130244,0.000202855,0.000182972,0.000107547,0.00029238,0.00020948,0.000278335,0.000109035,0.00024023,0.000426754,0.000330139,0.000192859,0.000273126,0.000588388,0.000961119,0.000401211,0.00044575,0.00056698,0.000732848,0.000978765,0.000851048,0.000899965,0.000593127,0.001554552,0.001354897
15,0.000192812,0.000248956,0.000215521,0.000344859,0.000216448,0.000184152,0.000160338,0.000248147,0.000224467,0.000133378,0.000356977,0.000257583,0.000341247,0.000136074,0.00029607,0.000520752,0.000405082,0.000239535,0.000337464,0.000717549,0.001161418,0.000494004,0.000548686,0.000695322,0.00089573,0.00118956,0.001039099,0.001098637,0.000730816,0.001878551,0.001644375
16,0.000231263,0.000297362,0.000258577,0.000411365,0.000260591,0.000222676,0.000194754,0.000299627,0.00027176,0.000163128,0.000430263,0.000312531,0.000412908,0.000167404,0.000359998,0.000627333,0.000490511,0.000293371,0.0004113,0.000863912,0.001386386,0.000600137,0.000666387,0.000841545,0.001080703,0.001427634,0.001252431,0.001323979,0.000888399,0.002242431,0.001970853
17,0.000274338,0.000351373,0.000306827,0.000485473,0.000310225,0.000266175,0.000233782,0.000357673,0.000325223,0.000197093,0.000512752,0.000374778,0.000493871,0.000203377,0.000432566,0.000747236,0.0005871,0.000354915,0.000495308,0.001028473,0.001637223,0.000720511,0.000799845,0.001006782,0.001289091,0.001694466,0.001492532,0.001577557,0.001067232,0.002648122,0.00233628
18,0.000322273,0.000411249,0.000360534,0.000567528,0.000365647,0.000314939,0.000277716,0.000422661,0.000385226,0.000235567,0.000604953,0.000444777,0.000584689,0.000244344,0.000514331,0.00088119,0.000695517,0.000424717,0.000590166,0.001212217,0.001915107,0.000856025,0.000950051,0.001192163,0.001522209,0.001991518,0.00176088,0.001860922,0.00126867,0.003097513,0.002742574
19,0.000375299,0.000477247,0.000419961,0.000657869,0.000427154,0.000369261,0.000326846,0.000494964,0.000452137,0.000278848,0.000707374,0.000522982,0.000685913,0.000290662,0.000605848,0.00102992,0.00081643,0.000503333,0.000696552,0.001416121,0.002221195,0.00100758,0.001117995,0.001398813,0.001781364,0.002320231,0.002058935,0.00217561,0.001494067,0.003592456,0.003191626
20,0.000433646,0.000549621,0.000485366,0.000756828,0.000495041,0.000429431,0.000381465,0.000574956,0.000526326,0.000327237,0.000820517,0.000609844,0.000798089,0.000342694,0.000707673,0.001194146,0.000950506,0.000591322,0.000815147,0.001641155,0.002556625,0.001176075,0.001304669,0.001627851,0.00206785,0.002682029,0.002388147,0.002523145,0.001744775,0.004134767,0.003685295
21,0.000497541,0.000628621,0.000557007,0.000864733,0.0005696,0.000495738,0.000441864,0.000663007,0.000608158,0.000381033,0.000944884,0.000705816,0.000921763,0.000400805,0.000820361,0.001374582,0.001098409,0.000689248,0.000946634,0.001888278,0.002922511,0.00136241,0.001511061,0.001880391,0.002382954,0.003078317,0.002749954,0.002905034,0.002022147,0.004726224,0.004225411
22,0.000567208,0.000714493,0.000635138,0.000981907,0.00065112,0.000568469,0.000508336,0.000759485,0.000698,0.000440541,0.001080969,0.00081135,0.001057482,0.000465363,0.00094447,0.001571935,0.001260799,0.000797677,0.001091697,0.002158442,0.003319953,0.001567483,0.001738158,0.002157544,0.002727951,0.00351048,0.003145778,0.003322773,0.002327534,0.005368572,0.004813777
23,0.000642871,0.000807482,0.00072001,0.001108669,0.00073989,0.000647912,0.000581173,0.000864757,0.000796217,0.000506065,0.001229267,0.000926896,0.001205785,0.000536742,0.001080557,0.001786909,0.001438337,0.000917179,0.001251022,0.002452591,0.003750031,0.00179219,0.001986946,0.002460413,0.003104105,0.003979888,0.00357703,0.00377784,0.002662282,0.006063521,0.005452167
24,0.000724751,0.000907827,0.000811873,0.001245333,0.000836196,0.000734353,0.000660667,0.00097919,0.000903173,0.000577911,0.001390268,0.001052905,0.001367215,0.000615317,0.001229177,0.002020203,0.001631679,0.001048327,0.001425295,0.002771659,0.004213805,0.002037428,0.00225841,0.002790098,0.003512675,0.004487891,0.004045108,0.004271704,0.003027737,0.006812747,0.006142326
25,0.000813066,0.001015767,0.000910974,0.001392209,0.000940323,0.000828078,0.000747109,0.001103145,0.001019231,0.000656386,0.001564459,0.001189827,0.001542308,0.000701467,0.001390888,0.002272507,0.001841482,0.001191697,0.001615202,0.003116574,0.00471232,0.00230409,0.002553531,0.003147692,0.003954903,0.005035823,0.004551395,0.004805814,0.003425242,0.007617894,0.006885973
