Design Life =~ ,80 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Temperature < ,20 deg C water temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg ,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
shape parameter = ,1.9943,1.993,1.987,1.9859,1.9909,1.9982,1.9899,1.9905,1.9987,1.9859,1.9831,1.9965,2.0071,1.991,1.9897,1.982,1.994,1.9925,1.989,1.9947,1.9993,1.9937,1.9964,1.9993,1.9909,1.9851,1.9822,1.9839,1.9792,1.9921,1.9904
scale parameter = ,51.366,51.013,50.641,50.247,49.89,49.741,49.242,48.95,48.717,48.121,47.789,47.565,47.43,46.736,46.382,46.018,45.816,45.466,45.122,44.767,44.364,44.05,43.684,43.319,42.993,42.554,42.14,41.751,41.446,41.248,40.851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.000387539,0.000394917,0.000410265,0.00041848,0.000416231,0.000406946,0.000428872,0.000432965,0.00042339,0.000455987,0.00046733,0.000447918,0.000432414,0.000473828,0.000483459,0.000505787,0.000487333,0.000497681,0.000512048,0.000509007,0.000509308,0.000527655,0.000531062,0.000534162,0.000559689,0.000583799,0.000601727,0.000609013,0.000628842,0.000605096,0.000620765
2,0.00154315,0.001571099,0.001625352,0.001656612,0.001653432,0.001624763,0.001702436,0.001719388,0.001690963,0.00180499,0.001846274,0.001786133,0.001737055,0.001882199,0.001918699,0.001996571,0.001939831,0.001978934,0.002031088,0.00202702,0.002034692,0.002099772,0.002117271,0.002133901,0.002222828,0.002309209,0.002375286,0.002406851,0.002477071,0.002404999,0.002464317
3,0.003460746,0.00352151,0.003634156,0.003702331,0.003702715,0.003649346,0.003810799,0.003849637,0.003798647,0.004033568,0.004121046,0.004008632,0.003915365,0.004214591,0.004293965,0.004454126,0.004348761,0.004433623,0.004543884,0.004545263,0.004570941,0.004706279,0.004750634,0.004793518,0.004976068,0.005157053,0.005298186,0.005372181,0.005518179,0.005385884,0.005514727
4,0.006134119,0.006239348,0.006427583,0.006545925,0.006555995,0.006475174,0.006745149,0.006814965,0.006740659,0.007130657,0.007279213,0.007108208,0.006964208,0.007461051,0.007598502,0.00786406,0.007704792,0.007851509,0.008038361,0.00805394,0.00811004,0.008336342,0.008421275,0.008504213,0.008806237,0.009110743,0.009351798,0.009486753,0.009730919,0.009533255,0.009756077
5,0.009555906,0.009716743,0.009996033,0.010177252,0.010204201,0.010094982,0.010495726,0.010605566,0.01050926,0.011084548,0.01130798,0.011075743,0.010877365,0.011610199,0.011820221,0.012211541,0.011996645,0.012220518,0.012500982,0.012540995,0.012641038,0.01297682,0.013116566,0.013253955,0.01369797,0.014152214,0.01451635,0.014730823,0.015093209,0.014829746,0.0151697
