DesignTemperature =~ ,20 deg C water temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Life =~ ,80 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg ,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
shape parameter = ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scale parameter = ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9.87868E-08,2.41593E-07,6.65066E-07,2.59427E-07,2.30815E-07,5.27781E-07,3.39791E-07,1.30542E-07,6.50644E-07,3.06961E-07,6.64937E-07,5.5591E-07,1.88358E-07,3.02912E-07,2.44629E-07,1.86627E-07,2.30974E-07,2.14065E-07,3.46343E-07,5.94429E-07,8.65719E-07,5.77473E-07,7.71224E-07,6.46526E-07,6.11987E-07,6.6283E-07,2.88485E-07,7.51768E-07,4.92295E-07,1.24827E-06,1.13396E-06
2,7.28607E-07,1.64392E-06,4.02863E-06,1.78516E-06,1.6246E-06,3.39747E-06,2.3102E-06,1.01572E-06,4.18274E-06,2.16165E-06,4.37835E-06,3.7539E-06,1.47507E-06,2.21463E-06,1.88372E-06,1.46745E-06,1.82193E-06,1.70329E-06,2.63279E-06,4.30787E-06,6.03024E-06,4.23212E-06,5.47465E-06,4.76318E-06,4.59306E-06,4.74254E-06,2.2987E-06,5.62689E-06,3.88045E-06,8.84001E-06,8.21863E-06
3,2.34678E-06,5.04708E-06,1.15674E-05,5.51868E-06,5.08842E-06,1.01087E-05,7.09729E-06,3.37336E-06,1.24368E-05,6.77926E-06,1.3198E-05,1.14862E-05,4.91675E-06,7.09966E-06,6.21921E-06,4.9133E-06,6.09862E-06,5.73443E-06,8.62972E-06,1.37226E-05,1.87766E-05,1.35788E-05,1.72456E-05,1.5324E-05,1.49332E-05,1.49945E-05,7.77825E-06,1.82657E-05,1.29852E-05,2.78096E-05,2.61883E-05
4,5.38324E-06,1.11863E-05,2.44609E-05,1.22936E-05,1.14399E-05,2.19235E-05,1.57465E-05,7.906E-06,2.69617E-05,1.52632E-05,2.8886E-05,2.5411E-05,1.15521E-05,1.62362E-05,1.45157E-05,1.15918E-05,1.43719E-05,1.35734E-05,2.00419E-05,3.12211E-05,4.2042E-05,3.10617E-05,3.89441E-05,3.51145E-05,3.44711E-05,3.39337E-05,1.85139E-05,4.21168E-05,3.05957E-05,6.27395E-05,5.96021E-05
5,1.02521E-05,2.07393E-05,4.37402E-05,2.28836E-05,2.14464E-05,3.99801E-05,2.9227E-05,1.53069E-05,4.91541E-05,2.86552E-05,5.30467E-05,4.70593E-05,2.24088E-05,3.08539E-05,2.80154E-05,2.25701E-05,2.79433E-05,2.64863E-05,3.85356E-05,5.907E-05,7.85706E-05,5.90267E-05,7.32752E-05,6.68105E-05,6.59555E-05,6.39375E-05,3.63254E-05,8.0515E-05,5.94814E-05,0.000117956,0.000112802
