Design Life =~ ,80 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Temperature < ,20 deg C water temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.000403154,0.00041009,0.000422891,0.000441868,0.000437856,0.000441292,0.000454879,0.000465596,0.000469489,0.000486168,0.000499418,0.000493118,0.000490727,0.00050346,0.000528805,0.000540959,0.000532371,0.000543268,0.000565122,0.000567267,0.000576572,0.000595553,0.000597763,0.000616831,0.000629826,0.00064182,0.000666132,0.000713205,0.000701107,0.000714616,0.000737334
2,0.001605348,0.001633475,0.00168037,0.00174818,0.001739844,0.001754983,0.001806126,0.001845729,0.001863871,0.001925147,0.001974617,0.001958974,0.001956474,0.002005694,0.002096228,0.002141926,0.002120063,0.002163045,0.002241334,0.002256402,0.002294987,0.002364501,0.002381102,0.002451581,0.002503209,0.002551076,0.002640865,0.002805991,0.002774211,0.002829932,0.002913988
3,0.003600165,0.003663869,0.003763646,0.003905494,0.003896754,0.003932596,0.004043318,0.00412806,0.004172192,0.004302755,0.004409332,0.004386563,0.0043902,0.004498479,0.004687724,0.004786619,0.004753689,0.00484944,0.005013412,0.005055664,0.005144108,0.005291873,0.005339232,0.005489988,0.005605419,0.005712822,0.005904737,0.0062456,0.006195626,0.006322793,0.00650269
4,0.006380974,0.00649459,0.006664563,0.006902996,0.006899948,0.006965802,0.007156897,0.007301875,0.007384356,0.007606968,0.007790239,0.007765286,0.007783338,0.007972395,0.008290186,0.008460821,0.008422608,0.008591317,0.00886708,0.008952435,0.00911139,0.009362769,0.009459249,0.009716953,0.009920789,0.010111002,0.010438819,0.011005345,0.010943382,0.011171008,0.011478588
5,0.009939862,0.01011757,0.010373879,0.010729402,0.01073959,0.010844884,0.011136105,0.011355468,0.011488961,0.011824826,0.012103285,0.012082912,0.012124975,0.01241572,0.012889005,0.01314896,0.013113641,0.013374924,0.013786102,0.013931432,0.014181345,0.014559752,0.014724862,0.015114312,0.015430436,0.015726163,0.016221201,0.017057217,0.016992651,0.017349105,0.017813882
6,0.014267402,0.014523134,0.014880879,0.015372239,0.015404244,0.01555841,0.01596852,0.016275552,0.01647282,0.016941738,0.017332844,0.017325133,0.017401704,0.017814212,0.018467417,0.018833335,0.01881082,0.01918362,0.019751644,0.019974334,0.020335239,0.020862291,0.02111616,0.021660377,0.022111796,0.022535006,0.023226249,0.024370249,0.024314769,0.024827438,0.025476686
7,0.019352573,0.019699936,0.020173233,0.02081758,0.020880737,0.021093113,0.021639889,0.022047037,0.022320791,0.022941223,0.023461413,0.023475417,0.0235976,0.024151055,0.025006278,0.025493857,0.025495327,0.025997812,0.026742074,0.027059701,0.027551031,0.028246605,0.028609589,0.029329839,0.029938525,0.030510286,0.031424397,0.03290996,0.032876947,0.033571953,0.034430687
8,0.025182749,0.02563495,0.026236957,0.027049932,0.027154118,0.027433867,0.02813408,0.028652962,0.029015731,0.029804823,0.030469494,0.030514975,0.030694255,0.031406886,0.032484006,0.033107963,0.033145527,0.033794985,0.034732914,0.035162989,0.03580342,0.03668566,0.037178022,0.038093791,0.038880531,0.039620856,0.040782148,0.042638189,0.042642241,0.043544189,0.044635117
9,0.031743709,0.032313489,0.033056414,0.034052204,0.034207667,0.034563705,0.035433091,0.036074484,0.036538504,0.037512087,0.038335568,0.03842279,0.038670841,0.03955985,0.040876593,0.041650625,0.041737034,0.042549778,0.043696887,0.044256629,0.045063932,0.046149239,0.046790877,0.047919836,0.048904089,0.049831787,0.051262172,0.053513119,0.053569656,0.054701407,0.056044869
10,0.039019676,0.03971924,0.04061434,0.041805716,0.042022924,0.04246386,0.043517078,0.044290909,0.044868025,0.046040605,0.047036126,0.047175668,0.047504193,0.048585686,0.050157667,0.051094406,0.051242813,0.052234088,0.053603999,0.054310142,0.05530105,0.056604058,0.057414269,0.058772234,0.059971994,0.06110454,0.062823472,0.065489401,0.065614321,0.066996802,0.068610702
11,0.046993357,0.047834322,0.04889189,0.05029023,0.050579742,0.051113819,0.052364418,0.053279748,0.053981324,0.055366063,0.056545721,0.056748327,0.057168914,0.05845783,0.06029858,0.061409552,0.061633299,0.0628172,0.064421665,0.065290279,0.066480371,0.068013927,0.069011185,0.07061208,0.07204376,0.073397168,0.075421593,0.078518349,0.078727722,0.080379752,0.08227951
12,0.055646007,0.056639337,0.057868698,0.059484006,0.059856357,0.060491401,0.061951778,0.063016787,0.063853625,0.065462328,0.066837055,0.067113489,0.067637479,0.06914753,0.071268528,0.07256411,0.072876538,0.074265928,0.076114844,0.077161187,0.078564778,0.080339921,0.08154169,0.083397517,0.085075835,0.086664553,0.089008866,0.092548182,0.092857973,0.094796125,0.096994628
13,0.064957485,0.066113446,0.067522946,0.069363868,0.06982946,0.07057283,0.072254202,0.073476171,0.07445844,0.076301539,0.077881073,0.078241993,0.078880368,0.080623978,0.083034672,0.084524058,0.084938338,0.086544783,0.088646211,0.089884584,0.091514631,0.09354058,0.094963144,0.097083956,0.099021847,0.100858656,0.103534678,0.107524296,0.107950114,0.110188601,0.112696183
