Design temperature <,40 deg C ambient temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design life =~ ,10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equation= ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg ,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape parameter = ,1.8465,1.8507,1.8499,1.8467,1.8164,1.8353,1.8227,1.8123,1.8136,1.8169,1.856,1.8,1.8429,1.8729,1.8349,1.8195,1.8214,1.84,1.8469,1.8515,1.8494,1.8475,1.8362,1.8312,1.8453,1.8337,1.8224,1.821,1.8405,1.8265,1.8211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scale parameter = ,40.885,37.938,35.465,33.097,30.628,28.761,26.661,24.858,23.177,21.737,20.324,18.843,17.699,16.634,15.311,14.336,13.549,12.60,11.771,10.978,10.227,9.5445,8.9047,8.3209,7.7399,7.1938,6.7293,6.2154,5.8137,5.4016,5.0698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.00105686,0.001194943,0.00135747,0.001559795,0.001996091,0.00209991,0.002514828,0.002953619,0.003338921,0.003712228,0.003728414,0.005053941,0.005001117,0.005153163,0.006670899,0.007837396,0.008638959,0.009344942,0.010472029,0.011773404,0.013478088,0.015365541,0.017881212,0.020441234,0.022649124,0.026471756,0.030506853,0.035263106,0.038418966,0.044886269,0.050686806
1,0.00105686,0.001194943,0.00135747,0.001559795,0.001996091,0.00209991,0.002514828,0.002953619,0.003338921,0.003712228,0.003728414,0.005053941,0.005001117,0.005153163,0.006670899,0.007837396,0.008638959,0.009344942,0.010472029,0.011773404,0.013478088,0.015365541,0.017881212,0.020441234,0.022649124,0.026471756,0.030506853,0.035263106,0.038418966,0.044886269,0.050686806,,,,,,,,,,,,,0.002738679,0.003108212,0.003527227,0.004039068,0.005016488,0.00537334,0.006352844,0.007381118,0.008348799,0.009305679,0.00970275,0.012434791,0.012823648,0.013592108,0.016924222,0.01955227,0.021560448,0.023763659,0.026689181,0.030065529,0.034244229,0.038836337,0.044513177,0.050413647,0.056374017,0.064728034,0.073276676,0.083865428,0.092487215,0.105424195,0.117211488
2,0.003795539,0.004303156,0.004884696,0.005598863,0.007012579,0.00747325,0.008867673,0.010334737,0.011687721,0.013017907,0.013431163,0.017488731,0.017824765,0.018745271,0.023595121,0.027389666,0.030199407,0.033108601,0.03716121,0.041838933,0.047722317,0.054201877,0.062394389,0.070854881,0.079023141,0.091199791,0.10378353,0.119128534,0.130906181,0.150310464,0.167898293,,,,,,,,,,,,,0.004212142,0.004788303,0.005428717,0.006202464,0.007577896,0.008190435,0.00961055,0.011093592,0.012540656,0.013983924,0.014860268,0.018455037,0.019433534,0.020886561,0.025410008,0.029032693,0.031960689,0.035491002,0.039793905,0.044727225,0.050605802,0.056982728,0.064451786,0.072228517,0.080646049,0.091000102,0.101214418,0.113986249,0.125242987,0.139052613,0.15138935
3,0.008007682,0.009091458,0.010313414,0.011801327,0.014590475,0.015663685,0.018478223,0.021428328,0.024228376,0.027001831,0.028291431,0.035943768,0.037258299,0.039631832,0.049005129,0.05642236,0.062160097,0.068599603,0.076955115,0.086566158,0.098328119,0.111184605,0.126846175,0.143083398,0.159669191,0.182199892,0.204997947,0.233114784,0.256149168,0.289363076,0.319287644,,,,,,,,,,,,,0.005574971,0.006342107,0.00718298,0.008190512,0.009890285,0.010749337,0.012539201,0.014398759,0.01625579,0.018114993,0.01948043,0.023645093,0.025223959,0.027330408,0.032651365,0.036949473,0.040550445,0.045135537,0.050399328,0.056363982,0.06322685,0.070530725,0.078655476,0.087022907,0.096394503,0.106651034,0.116268644,0.128089968,0.138820818,0.149455285,0.158384791
4,0.013582652,0.015433565,0.017496394,0.019991839,0.024480761,0.026413022,0.031017423,0.035827088,0.040484166,0.045116824,0.047771861,0.059588861,0.062482258,0.066962241,0.081656494,0.093371833,0.102710542,0.11373514,0.127354443,0.142930139,0.161554969,0.18171533,0.205501651,0.230106306,0.256063694,0.288850926,0.321266591,0.361204752,0.394969986,0.438818361,0.477672435,,,,,,,,,,,,,0.006854438,0.007798955,0.008822696,0.010040537,0.012009443,0.013101034,0.015202819,0.017374288,0.019578298,0.02178695,0.02361843,0.028129961,0.030269391,0.032954455,0.03874115,0.043432947,0.047462637,0.052777004,0.058571462,0.065026083,0.072177331,0.079587912,0.087370301,0.095198267,0.104075536,0.112579157,0.119944452,0.12854211,0.136271965,0.141556459,0.145161347
5,0.02043709,0.023232521,0.026319089,0.030032376,0.036490204,0.039514057,0.046220243,0.053201376,0.060062464,0.066903775,0.071390291,0.087718821,0.092751649,0.099916696,0.120397644,0.13680478,0.150173178,0.166512143,0.185925905,0.207956222,0.233732299,0.261303242,0.292871952,0.325304573,0.36013923,0.401430084,0.441211043,0.489746862,0.531241952,0.58037482,0.622833782,,,,,,,,,,,,,0.008062588,0.009171444,0.010361597,0.011767911,0.013959148,0.015265931,0.017627183,0.020051632,0.022541385,0.025033427,0.027287411,0.031959849,0.034589333,0.037750104,0.043708058,0.048536986,0.052757373,0.058452853,0.064357186,0.070781201,0.077588075,0.084384427,0.091024386,0.097432979,0.104644902,0.110332843,0.114532928,0.118761592,0.122223146,0.121889512,0.120259095
6,0.028499678,0.032403964,0.036680686,0.041800287,0.050449352,0.054779987,0.063847426,0.073253007,0.08260385,0.091937202,0.098677702,0.119678671,0.127340983,0.1376668,0.164105702,0.185341766,0.202930551,0.224964997,0.250283091,0.278737423,0.311320375,0.345687668,0.383896339,0.422737552,0.464784132,0.511762926,0.555743971,0.608508454,0.653465098,0.702264332,0.743092877,,,,,,,,,,,,,0.009205535,0.010465709,0.011806168,0.013379717,0.01575124,0.017253233,0.019824336,0.022445995,0.025160957,0.027870337,0.030488982,0.035162866,0.038191629,0.041707014,0.047575186,0.052311144,0.056499244,0.062231652,0.067860481,0.073791146,0.07972787,0.08534329,0.090287309,0.094709488,0.099498266,0.101942848,0.102794273,0.102598573,0.101764233,0.096953257,0.091523779
7,0.037705213,0.042869673,0.048486854,0.055180004,0.066200592,0.07203322,0.083671762,0.095699003,0.107764807,0.119807538,0.129166684,0.154841537,0.165532611,0.179373814,0.211680888,0.237652909,0.259429795,0.287196649,0.318143571,0.35252857,0.391048245,0.431030958,0.474183648,0.51744704,0.564282398,0.613705774,0.658538245,0.711107027,0.755229331,0.799217589,0.834616656,,,,,,,,,,,,,0.010286566,0.011684852,0.013159548,0.014879283,0.017392211,0.019067354,0.021800631,0.024566091,0.027446508,0.030307737,0.033223206,0.037761595,0.041086141,0.044824984,0.050377274,0.054820738,0.058777435,0.064229217,0.069254658,0.07431633,0.078994937,0.083050055,0.086007684,0.088201672,0.09026185,0.089596901,0.087497706,0.083638723,0.079396119,0.071918527,0.064609006
