DesignTemperature =~ ,20 deg C water temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Life =~ ,80 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg ,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
shape parameter = ,2.9388,2.772,2.5782,2.8157,2.8002,2.6683,2.7456,2.9801,2.666,2.7994,2.6969,2.7358,2.9758,2.855,2.9275,3.0823,2.9852,2.972,2.906,2.8507,2.8353,2.8527,2.805,2.8638,2.907,2.8465,3.2113,2.9086,2.966,2.8833,2.8844
scale parameter = ,237.76,215.69,196.23,205.33,197.74,177.8,180.91,186.85,164.87,168.42,157.37,154.07,162.79,152.63,152.2,159.26,148.29,144.65,137.65,132.46,128.66,126.19,122.63,121.88,120.83,140.86,128.81,112.99,114.48,107.51,105.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.03993E-07,3.39331E-07,1.22685E-06,3.08196E-07,3.71943E-07,9.91989E-07,6.33739E-07,1.70107E-07,1.22772E-06,5.85374E-07,1.18883E-06,1.03476E-06,2.62203E-07,5.83053E-07,4.08302E-07,1.63097E-07,3.30215E-07,3.79781E-07,6.09139E-07,8.92427E-07,1.04495E-06,1.01486E-06,1.38512E-06,1.06244E-06,8.85356E-07,7.64673E-07,1.67617E-07,1.06789E-06,7.83083E-07,1.38907E-06,1.44932E-06
2,7.97389E-07,2.31781E-06,7.32666E-06,2.16989E-06,2.59072E-06,6.30586E-06,4.25028E-06,1.34222E-06,7.79192E-06,4.07508E-06,7.70845E-06,6.89282E-06,2.06273E-06,4.2184E-06,3.10632E-06,1.38137E-06,2.61476E-06,2.97985E-06,4.56571E-06,6.43751E-06,7.45767E-06,7.33082E-06,9.67995E-06,7.73383E-06,6.64065E-06,5.49992E-06,1.55244E-06,8.01866E-06,6.11873E-06,1.0249E-05,1.07017E-05
3,2.62523E-06,7.13184E-06,2.08402E-05,6.79605E-06,8.06323E-06,1.8604E-05,1.29387E-05,4.49357E-06,2.29668E-05,1.2679E-05,2.30072E-05,2.08999E-05,6.89373E-06,1.34241E-05,1.01801E-05,4.82032E-06,8.77197E-06,9.94342E-06,1.48329E-05,2.04502E-05,2.35435E-05,2.33069E-05,3.01859E-05,2.46991E-05,2.15826E-05,1.74421E-05,5.70817E-06,2.60782E-05,2.03678E-05,3.29913E-05,3.44641E-05
4,6.11415E-06,1.58318E-05,4.37536E-05,1.52772E-05,1.80452E-05,4.00844E-05,2.8505E-05,1.05906E-05,4.94517E-05,2.83684E-05,4.99811E-05,4.59142E-05,1.62272E-05,3.05199E-05,2.36323E-05,1.16997E-05,2.07044E-05,2.33803E-05,3.42212E-05,4.64361E-05,5.32236E-05,5.29531E-05,6.76472E-05,5.62955E-05,4.98076E-05,3.95577E-05,1.43784E-05,6.02097E-05,4.78088E-05,7.56183E-05,7.90188E-05
5,1.17797E-05,2.93874E-05,7.77785E-05,2.86359E-05,3.37073E-05,7.27031E-05,5.26007E-05,2.0593E-05,8.96468E-05,5.29808E-05,9.12333E-05,8.45405E-05,3.15229E-05,5.77105E-05,4.54157E-05,2.32743E-05,4.03045E-05,4.53798E-05,6.54499E-05,8.77218E-05,0.000100199,0.000100077,0.000126494,0.000106658,9.52803E-05,7.46582E-05,2.94384E-05,0.00011522,9.26687E-05,0.000143891,0.000150398
