Design Life =~ ,80 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Temperature < ,20 deg C water temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg ,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
shape parameter = ,1.9944,1.9965,1.9954,1.9844,1.9918,1.9878,1.9907,1.9859,1.9831,1.987,1.9854,1.9867,1.9878,1.999,1.9868,1.9904,1.9954,1.9962,1.9889,1.9919,1.9901,1.988,1.9944,1.9866,1.9931,1.9982,1.9938,1.973,1.9913,1.9834,1.9797
scale parameter = ,49.398,48.818,48.342,47.775,47.39,46.936,46.417,46.021,45.478,45.105,44.589,44.194,43.666,43.387,42.775,42.412,41.969,41.496,41.051,40.581,40.131,39.684,39.188,38.741,38.269,37.918,37.409,36.713,36.519,35.877,35.476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.00041877,0.000425263,0.000435516,0.000465257,0.000459481,0.000475638,0.000480885,0.000498227,0.000515587,0.000516349,0.000531506,0.000538319,0.00054904,0.000533092,0.000574152,0.000576131,0.000577408,0.000588855,0.000618196,0.000625527,0.000643835,0.00066345,0.000664464,0.0006995,0.000699963,0.00069984,0.000730536,0.000817397,0.000773372,0.000824136,0.000853904
2,0.001667546,0.001695852,0.001735389,0.001839748,0.001826257,0.001885202,0.001909815,0.001972071,0.00203678,0.002045303,0.002102961,0.002131816,0.002175893,0.00212919,0.002273756,0.00228728,0.002300295,0.002347155,0.00245158,0.002485783,0.002555282,0.00262923,0.002644933,0.002769262,0.002783589,0.002792943,0.002906444,0.00320513,0.003071351,0.003254864,0.00336366
3,0.003739585,0.003806228,0.003893137,0.004108657,0.004090793,0.004215846,0.004275837,0.004406483,0.004545737,0.004571943,0.004697618,0.004764495,0.004865035,0.004782368,0.005081482,0.005119111,0.005158618,0.005265257,0.005482941,0.005566065,0.005717274,0.005877466,0.005927829,0.006186458,0.006234769,0.006268592,0.006511287,0.007119019,0.006873073,0.007259702,0.007490653
4,0.006627829,0.006749832,0.006901543,0.007260068,0.007243902,0.007456429,0.007568644,0.007788784,0.008028052,0.008083279,0.008301265,0.008422363,0.008602468,0.008483738,0.008981869,0.009057583,0.009140423,0.009331124,0.009695798,0.009850931,0.010112739,0.010389196,0.010497223,0.010929693,0.011035342,0.01111126,0.011525839,0.012523938,0.012155845,0.012808762,0.013201098
5,0.010323818,0.010518397,0.010751726,0.011281552,0.011274979,0.011594787,0.011776485,0.012105371,0.012468662,0.012565104,0.01289859,0.01309008,0.013372585,0.013221242,0.013957788,0.014086379,0.014230637,0.014529331,0.015071221,0.015321869,0.015721653,0.016142683,0.016333158,0.016974669,0.017162902,0.017300112,0.017926053,0.019383612,0.018892094,0.019868463,0.020458065
6,0.014817444,0.015101806,0.015432941,0.016159379,0.016171614,0.016617117,0.016885694,0.017340959,0.017850914,0.018001285,0.018472357,0.018750207,0.019157481,0.018979646,0.019989654,0.020186355,0.020410842,0.020840884,0.021587141,0.021956815,0.022520422,0.023112628,0.023411342,0.024293255,0.024590389,0.024808995,0.0256827,0.027658364,0.027048793,0.028400215,0.02921977
7,0.020096878,0.020488064,0.020932529,0.021878221,0.021919452,0.022507753,0.022880534,0.023478316,0.024156222,0.024373515,0.025003115,0.025382942,0.025936711,0.025740602,0.027055165,0.027335372,0.027659246,0.028243226,0.029218145,0.02973004,0.030481718,0.031269941,0.031703122,0.032853224,0.033286034,0.033606564,0.034761357,0.03730435,0.03658737,0.038360044,0.039439076
8,0.02614856,0.026663305,0.027235916,0.028421042,0.028502168,0.029249089,0.029743156,0.030498162,0.031363937,0.031661227,0.0324691,0.03296604,0.033687231,0.033482725,0.035129226,0.035508277,0.035950742,0.036710302,0.037935451,0.038612172,0.03957448,0.04058172,0.041175574,0.04261822,0.043213447,0.043656459,0.045122533,0.04827334,0.04746383,0.049698593,0.051063424
9,0.032957212,0.033611832,0.034326646,0.035769059,0.035901479,0.036821572,0.037453614,0.038379156,0.039451313,0.0398416,0.040846225,0.041474822,0.042383416,0.042181699,0.044183976,0.044676959,0.045257002,0.046212678,0.047706975,0.0485703,0.049764013,0.05101134,0.051791654,0.053547863,0.054331792,0.054917536,0.056721872,0.060512739,0.059628967,0.06236129,0.064034988
10,0.040505886,0.041316163,0.04218643,0.043901754,0.044097187,0.045203733,0.04598991,0.047097931,0.048393535,0.048889599,0.050108127,0.050882227,0.051997127,0.051810398,0.054188864,0.054810447,0.055546614,0.056717685,0.058497447,0.059568114,0.06101213,0.062518601,0.0635104,0.065597915,0.066596007,0.06734413,0.069510423,0.073965766,0.073028666,0.076288627,0.078290951
11,0.048776009,0.049757095,0.050795211,0.052796918,0.053067244,0.054372245,0.055328068,0.056629149,0.058163781,0.058778058,0.060226243,0.061158901,0.062497813,0.062339022,0.06511076,0.065875042,0.066785233,0.068189588,0.070268573,0.071566089,0.07327735,0.075059924,0.076287163,0.078720508,0.079957073,0.080886357,0.083434944,0.088571712,0.087604242,0.091416518,0.093763878
12,0.057747449,0.058913774,0.060131235,0.062430712,0.062787829,0.064302001,0.065442222,0.066945591,0.068733308,0.069477772,0.071169919,0.072273311,0.07385263,0.073735249,0.076914095,0.077834473,0.078935758,0.080589779,0.082979222,0.084521693,0.086515103,0.088588581,0.09007387,0.092864405,0.094362309,0.095490437,0.098438245,0.104266269,0.103292829,0.107676703,0.11038213
